company,state,industry,type,location,off,dayopen,dayclose,holopen,holclose,TelNo,lapti,longit
카프로닥터,서초구,세차장,손세차,서초구 동산로 91 (양재동),일요일,9:00,18:00,null,null,02-828-2675,37.473686,127.048154
진성모터스,서초구,세차장,손세차,서초구 동산로19길 27(양재동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2676,37.473977,127.046219
크리스탈 디테일링 센터,서초구,세차장,손세차,"  서초구 남부순환로 2457, 1층 103호 (서초동)","일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2677,37.482936,127.019149
에이치케이모터즈㈜ 서초BP,서초구,세차장,손세차,서초구 성촌4길 19(우면동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2678,37.473149,127.018761
디케이본(DK.BORN),서초구,세차장,손세차,서초구 남부순환로333길 10(서초동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2679,37.483294,127.020424
삼성여객자동차㈜,서초구,세차장,자동세차,서초구 양재대로 254 (염곡동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2680,37.47393,127.04626
㈜역삼모터스,서초구,정비업소,손세차,서초구 사임당로 90 (서초동),일요일,9:00,18:00,null,null,02-828-2674,37.4896849,127.0197303
스타일카케어 서초 직영점,서초구,세차장,손세차,서초구 반포대로24길 20,"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2682,37.48964,127.01019
카웍스(CARWORKS),서초구,충전소,자동세차,서초구 남부순환로 2224 (방배동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2683,37.4731918,126.9954407
을지카센타,서초구,정비업소,손세차,서초구 양재천로21길 38 (양재동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2684,37.4774294,127.0394399
경동모터스㈜,서초구,정비업소,손세차,서초구 강남대로18길 16-13 (양재동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2685,37.4713735,127.0399453
노벨오토자동차공업사,서초구,정비업소,손세차,서초구 방배중앙로 148 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-828-2686,37.4921868,126.9869629
대신석유㈜ 대우주유소,서초구,대형버스 세차장,자동세차,서초구 양재대로 173 (양재동),일요일,9:00,18:00,null,null,02-828-2687,37.4628549,127.0371605
건국아이디㈜,서초구,주유소,자동세차,서초구 신반포로 176 (반포동),일요일,9:00,18:00,null,null,02-828-2688,37.5053878,127.0038202
㈜친절한상희씨,서초구,정비업소,손세차,서초구 서초대로41길 18 (서초동),일요일,9:00,18:00,null,null,02-828-2689,37.4936546,127.0078294
서초오토공업사,서초구,정비업소,손세차,서초구 서초대로62길 13 (서초동),일요일,9:00,18:00,null,null,02-828-2690,37.4947733,127.0196196
우물세차장,서초구,셀프세차장,셀프세차,서초구 과천대로 844(방배동),일요일,9:00,18:00,null,null,02-828-2691,37.4672584,126.9876283
방배동주유소,서초구,주유소,자동세차,서초구 방배천로2안길 100 (방배동),일요일,9:00,18:00,null,null,02-828-2692,37.4814912,126.9841702
신우자동차공업사,서초구,정비업소,손세차,서초구 서초대로60길 13 (서초동),일요일,9:00,18:00,null,null,02-828-2693,37.4943566,127.0184001
신반포주유소,서초구,주유소,자동세차,서초구 사평대로 94(반포동),일요일,9:00,18:00,null,null,02-828-2694,37.498387,126.9950235
영우카프라자,서초구,정비업소,손세차,서초구 바우뫼로 212 (양재동),일요일,9:00,18:00,null,null,02-828-2695,37.4805267,127.0420715
선우상사Q엔느,서초구,주유소,자동세차,서초구 방배로 66 (방배동),일요일,9:00,18:00,null,null,02-828-2696,37.4807119,126.9984941
옐로우케어,서초구,정비업소,손세차,서초구 양재천로11길 26 (양재동),일요일,9:00,18:00,null,null,02-828-2697,37.4757706,127.0362247
태봉주유소세차장,서초구,주유소,자동세차,서초구 태봉로 117 (우면동),일요일,9:00,18:00,null,null,02-828-2698,37.468279,127.0281706
오토코트,서초구,정비업소,손세차,서초구 서운로 46 (서초동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2699,37.4881663,127.0286737
오너쉴드 서초점,서초구,세차장,손세차,"  서초구 남부순환로 2391, 지층(서초동)","일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2681,37.48058,127.01183
서울석유㈜ 양재주유소,서초구,주유소,자동세차,서초구 바우뫼로 178(양재동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2700,37.4780974,127.0396022
삼방서비스,서초구,주유소,자동세차,서초구 사평대로 364 (서초동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2701,37.5037367,127.0232195
㈜대농석유 남태령주유소,서초구,주유소,자동세차,서초구 과천대로 838(방배동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2702,37.4668348,126.9879729
반포그린주유소,서초구,주유소,자동세차,서초구 서초중앙로 239 (반포동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2704,37.5029777,127.010995
서초남부점 현대자동차,서초구,정비업소,손세차,서초구 서초대로53길 16 (서초동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2705,37.4956136,127.0149676
D-Line motors,서초구,정비업소,손세차,서초구 서초중앙로18길 37 (서초동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2706,37.873135,127.0163187
